group	dataset	id	data_central	theory_central	rep_00001	rep_00002	rep_00003	rep_00004	rep_00005	rep_00006	rep_00007	rep_00008	rep_00009	rep_00010	rep_00011	rep_00012	rep_00013	rep_00014	rep_00015	rep_00016	rep_00017	rep_00018	rep_00019	rep_00020	rep_00021	rep_00022	rep_00023	rep_00024	rep_00025	rep_00026	rep_00027	rep_00028	rep_00029	rep_00030	rep_00031	rep_00032	rep_00033	rep_00034	rep_00035	rep_00036	rep_00037	rep_00038	rep_00039	rep_00040	rep_00041	rep_00042	rep_00043	rep_00044	rep_00045	rep_00046	rep_00047	rep_00048	rep_00049	rep_00050	rep_00051	rep_00052	rep_00053	rep_00054	rep_00055	rep_00056	rep_00057	rep_00058	rep_00059	rep_00060	rep_00061	rep_00062	rep_00063	rep_00064	rep_00065	rep_00066	rep_00067	rep_00068	rep_00069	rep_00070	rep_00071	rep_00072	rep_00073	rep_00074	rep_00075	rep_00076	rep_00077	rep_00078	rep_00079	rep_00080	rep_00081	rep_00082	rep_00083	rep_00084	rep_00085	rep_00086	rep_00087	rep_00088	rep_00089	rep_00090	rep_00091	rep_00092	rep_00093	rep_00094	rep_00095	rep_00096	rep_00097	rep_00098	rep_00099	rep_00100
DYE605	DYE605	0	363.9999999999999	369.7281188964844	379.1557922363281	340.9711608886719	350.030517578125	412.375244140625	364.8012390136719	364.7184143066406	374.2818908691406	401.24334716796875	364.7135925292969	366.21026611328125	359.2606506347656	345.93402099609375	374.888916015625	368.3861083984375	380.189453125	355.8769226074219	368.8334655761719	368.720703125	374.2843322753906	385.1665954589844	368.32843017578125	397.70281982421875	359.1068420410156	392.0613708496094	379.71868896484375	359.166015625	364.23468017578125	367.8125	340.51300048828125	362.50799560546875	354.24102783203125	366.0615539550781	365.46563720703125	398.80792236328125	389.85003662109375	412.72589111328125	399.020263671875	377.8648681640625	372.7191162109375	359.9422302246094	374.943603515625	379.6670227050781	356.074462890625	383.525634765625	340.7629699707031	340.0579833984375	366.46075439453125	359.0339050292969	405.67376708984375	344.7843017578125	389.90850830078125	373.9383850097656	332.6348571777344	373.17633056640625	367.24749755859375	391.2539367675781	338.61029052734375	388.7720947265625	348.1842041015625	339.9688415527344	377.2410888671875	416.65057373046875	295.8521728515625	368.91754150390625	355.96063232421875	360.42059326171875	364.3448486328125	419.9441223144531	361.67535400390625	400.5357971191406	339.08453369140625	372.0392150878906	389.9918518066406	331.6618347167969	378.31591796875	369.9715576171875	365.26678466796875	392.2161865234375	339.4685974121094	372.14898681640625	384.60516357421875	337.4271545410156	370.859375	362.80902099609375	385.993408203125	332.5624084472656	349.117919921875	407.4014587402344	377.6117858886719	374.45062255859375	363.73443603515625	380.95855712890625	390.45074462890625	375.4635009765625	402.7190246582031	371.2607421875	377.47283935546875	357.900390625	369.9287109375	345.8118896484375
DYE605	DYE605	1	209.0	316.24151611328125	322.976806640625	291.3709411621094	297.533447265625	358.2761535644531	311.1767578125	310.15618896484375	319.6810607910156	335.0152587890625	307.9100646972656	311.32672119140625	304.92730712890625	295.994140625	325.7364501953125	313.949951171875	324.1377868652344	302.8069152832031	315.8238525390625	316.6474609375	322.501708984375	332.2752990722656	315.8852844238281	339.614013671875	306.08203125	337.0289306640625	323.49005126953125	304.61865234375	313.8016357421875	314.7003173828125	289.13543701171875	313.1429443359375	301.5043029785156	313.4311218261719	309.39166259765625	341.1989440917969	335.392333984375	354.64422607421875	341.93133544921875	323.4698486328125	314.3747863769531	308.46142578125	321.99957275390625	324.6474914550781	302.35076904296875	329.24407958984375	294.4317626953125	289.7312927246094	313.28826904296875	304.7454833984375	346.34527587890625	294.0823669433594	334.26885986328125	319.9009094238281	283.849365234375	317.49176025390625	316.99786376953125	339.0339660644531	289.0380859375	333.5555419921875	299.69097900390625	294.2880859375	321.1970520019531	355.1111145019531	255.3604736328125	313.03076171875	304.1195983886719	308.70587158203125	312.55706787109375	363.94561767578125	310.3991394042969	343.81097412109375	290.13629150390625	317.4030456542969	332.41497802734375	283.6044616699219	328.0321960449219	315.1746826171875	315.8904724121094	335.60614013671875	288.5665588378906	319.3043212890625	327.34185791015625	285.6719055175781	316.6949462890625	308.38494873046875	329.1541748046875	283.9565734863281	297.97210693359375	349.6166076660156	323.5382080078125	324.3211669921875	308.9332275390625	326.5769958496094	333.5953369140625	320.8647766113281	344.4702453613281	320.04949951171875	322.07330322265625	306.00750732421875	315.45294189453125	294.602783203125
DYE605	DYE605	2	220.0	271.46258544921875	276.2120666503906	249.896484375	253.73492431640625	313.9637145996094	266.2913818359375	266.0900573730469	273.8353271484375	284.4247131347656	262.0149841308594	265.51495361328125	259.5891418457031	255.76895141601562	284.1192932128906	268.6865234375	277.0228576660156	258.3605651855469	271.056884765625	272.6719970703125	276.8318786621094	286.607421875	271.13995361328125	291.1541442871094	261.9825439453125	291.0442199707031	276.49420166015625	258.9992980957031	270.51800537109375	270.4400634765625	245.8863983154297	271.8700866699219	257.4115295410156	270.3387451171875	262.42401123046875	292.91497802734375	289.56182861328125	306.2840576171875	293.4975891113281	277.77838134765625	268.0799255371094	266.11920166015625	277.5341796875	278.9985656738281	257.43182373046875	283.45452880859375	255.1508026123047	248.03207397460938	268.56463623046875	259.26409912109375	296.41851806640625	251.50106811523438	287.5159912109375	275.2074890136719	243.99188232421875	270.94384765625	275.37957763671875	294.451416015625	247.51795959472656	287.00787353515625	259.4415283203125	256.96783447265625	274.35528564453125	304.50537109375	221.77891540527344	266.2337341308594	260.5724182128906	265.3255310058594	268.95867919921875	316.45782470703125	266.94915771484375	295.05169677734375	249.49166870117188	271.5511474609375	284.1294860839844	243.16387939453125	284.62774658203125	269.0108642578125	272.7734680175781	287.8406982421875	247.21051025390625	274.9509582519531	279.19390869140625	242.54876708984375	272.0174865722656	262.90032958984375	278.23419189453125	243.83224487304688	255.10311889648438	301.03851318359375	278.1618957519531	280.54913330078125	262.4088134765625	280.59722900390625	285.8797302246094	275.0660095214844	295.25750732421875	276.5619201660156	275.68475341796875	262.62860107421875	270.46539306640625	251.77891540527344
DYE605	DYE605	3	243.0	234.34959411621094	237.66683959960938	215.65626525878906	217.67739868164062	276.6802062988281	229.21963500976562	231.563720703125	235.8295440673828	245.88760375976562	226.02577209472656	227.86314392089844	222.3173370361328	223.79295349121094	247.8034210205078	232.13548278808594	237.926025390625	221.67120361328125	233.7014923095703	235.53575134277344	237.54078674316406	247.580078125	233.5191650390625	251.30690002441406	225.73703002929688	252.38462829589844	237.71182250976562	221.4351043701172	233.42532348632812	234.04559326171875	210.2930450439453	236.35105895996094	220.92523193359375	235.689453125	224.2309112548828	252.87863159179688	251.22052001953125	266.538330078125	252.44085693359375	239.51797485351562	232.74880981445312	231.62179565429688	240.677001953125	241.0722198486328	220.50228881835938	245.3512725830078	221.18081665039062	213.99807739257812	231.41259765625	222.0001220703125	254.96337890625	216.1928253173828	248.7388153076172	238.70603942871094	211.38160705566406	232.55877685546875	240.2362060546875	256.30731201171875	213.33995056152344	248.1363525390625	225.47515869140625	225.61862182617188	235.736572265625	263.905029296875	193.4613037109375	227.66009521484375	224.22409057617188	229.35194396972656	232.65744018554688	276.4417419433594	230.48455810546875	253.9512481689453	216.5263214111328	233.49172973632812	244.15342712402344	209.46559143066406	247.0377655029297	230.53778076171875	235.5411376953125	248.16696166992188	214.6356964111328	238.14378356933594	239.51878356933594	207.19676208496094	235.7834014892578	225.41421508789062	234.01199340820312	211.00637817382812	219.59825134277344	260.74383544921875	240.4922332763672	242.6768798828125	224.3583221435547	242.54254150390625	246.3714599609375	237.15516662597656	252.8304443359375	239.6629638671875	237.35626220703125	226.50099182128906	233.78814697265625	216.4381103515625
DYE605	DYE605	4	119.0	201.47923278808594	203.6890869140625	185.39498901367188	185.91217041015625	243.17684936523438	196.47323608398438	201.73611450195312	202.23861694335938	213.8958282470703	195.05404663085938	194.69659423828125	189.54061889648438	195.805419921875	214.90707397460938	200.326171875	203.33895874023438	189.29531860351562	200.51565551757812	202.39559936523438	202.03347778320312	212.62100219726562	199.95884704589844	216.26992797851562	193.71304321289062	217.89266967773438	203.49273681640625	188.4188232421875	199.99810791015625	201.88742065429688	178.94400024414062	203.99307250976562	188.66998291015625	205.2032470703125	190.619873046875	217.35462951660156	217.0532989501953	231.66513061523438	215.73779296875	205.39315795898438	202.4965362548828	201.28369140625	208.00074768066406	207.48178100585938	187.86679077148438	211.47299194335938	190.36180114746094	184.18020629882812	198.53448486328125	189.19863891601562	218.2801513671875	184.96124267578125	214.367431640625	206.57086181640625	182.74420166015625	198.7301025390625	208.68136596679688	222.08734130859375	183.08609008789062	213.59078979492188	194.8531494140625	196.97549438476562	201.69998168945312	228.58164978027344	168.31100463867188	193.64578247070312	191.9127960205078	197.52175903320312	200.46014404296875	240.61550903320312	198.00900268554688	217.23709106445312	187.1933135986328	199.81594848632812	208.853271484375	179.58944702148438	213.0794219970703	196.35227966308594	201.8824005126953	212.9898681640625	186.2923583984375	205.47491455078125	204.60012817382812	176.09768676757812	203.92745971679688	192.41258239746094	194.46035766601562	182.042724609375	188.20172119140625	225.04525756835938	207.109619140625	208.4778594970703	190.9232177734375	208.8476104736328	211.43792724609375	203.6021728515625	214.80447387695312	206.60153198242188	203.47036743164062	194.4190673828125	201.5455780029297	185.26004028320312
DYE605	DYE605	5	176.0	173.73472595214844	175.1532440185547	159.93087768554688	159.27578735351562	214.51145935058594	168.92904663085938	177.3622283935547	173.9225311279297	188.56747436523438	169.82000732421875	166.9146728515625	162.1019744873047	172.56427001953125	186.33578491210938	173.94873046875	174.17796325683594	162.08261108398438	172.4040069580078	174.131591796875	171.51416015625	182.7301025390625	171.40963745117188	186.81570434570312	166.77325439453125	188.56478881835938	174.7368927001953	160.7496337890625	171.17431640625	174.7862548828125	152.63568115234375	175.88421630859375	161.5045623779297	179.78404235839844	162.614501953125	187.32455444335938	188.01168823242188	202.33004760742188	184.47750854492188	176.4005889892578	178.14346313476562	175.81637573242188	180.39572143554688	179.11306762695312	160.49009704589844	182.79132080078125	163.63388061523438	159.2888641357422	170.78524780273438	161.73304748535156	187.31985473632812	158.63983154296875	185.3333740234375	179.65847778320312	158.76705932617188	170.33615112304688	181.71322631835938	192.67303466796875	157.66722106933594	184.3238067626953	168.55751037597656	172.17019653320312	173.12490844726562	199.26690673828125	146.9955596923828	165.08372497558594	164.56121826171875	170.64181518554688	173.20358276367188	209.95370483398438	170.4143829345703	185.96481323242188	162.54998779296875	171.40545654296875	179.1177520751953	154.3229522705078	183.63514709472656	167.46578979492188	172.74136352539062	183.2644500732422	162.99081420898438	177.86135864257812	175.22891235351562	150.11151123046875	177.31427001953125	164.72171020507812	160.52066040039062	157.74468994140625	161.7418212890625	194.89642333984375	178.87449645996094	178.939453125	163.06307983398438	180.4355926513672	181.99407958984375	175.32943725585938	182.15231323242188	178.30621337890625	174.92791748046875	167.28411865234375	174.5551300048828	159.0615234375
DYE605	DYE605	6	174.0	149.8197021484375	150.67254638671875	138.18869018554688	136.6726837158203	187.05946350097656	145.45779418945312	155.47080993652344	149.72720336914062	166.6090087890625	147.89434814453125	143.39047241210938	138.94883728027344	150.6905517578125	161.0917205810547	151.22239685058594	149.19534301757812	138.944091796875	148.24807739257812	150.04782104492188	144.94711303710938	156.73748779296875	147.11605834960938	161.99061584472656	143.48403930664062	162.66629028320312	150.22201538085938	137.33401489257812	146.84950256347656	151.25921630859375	130.5134735107422	150.89938354492188	138.229736328125	157.02536010742188	139.94235229492188	161.32809448242188	162.7014923095703	175.93865966796875	157.46990966796875	151.30282592773438	156.65045166015625	153.30299377441406	156.69317626953125	154.38714599609375	137.2312469482422	158.15081787109375	140.5506591796875	137.8306121826172	147.0460968017578	138.66064453125	160.83749389648438	136.15049743652344	160.39678955078125	155.92398071289062	137.23858642578125	146.2151641845703	157.89747619628906	167.46385192871094	135.71566772460938	159.20050048828125	145.42420959472656	148.4365997314453	148.85031127929688	173.81626892089844	127.92529296875	140.9307861328125	141.06900024414062	147.42916870117188	149.74053955078125	182.93960571289062	146.7891845703125	159.08042907714844	140.6837615966797	147.0968017578125	153.7352294921875	132.64910888671875	157.991455078125	142.56820678710938	147.93191528320312	157.55401611328125	142.0771942138672	154.063720703125	150.3468017578125	128.22207641601562	153.85548400878906	141.2520294189453	135.1268768310547	136.3643035888672	139.1520538330078	169.0384521484375	154.58897399902344	153.92337036132812	140.37704467773438	156.15452575683594	156.82504272460938	151.1546173095703	155.72613525390625	153.89373779296875	150.59326171875	143.65977478027344	151.14697265625	136.755859375
DYE605	DYE605	7	140.0	129.4766845703125	129.90884399414062	119.72789001464844	117.57679748535156	162.35122680664062	125.56515502929688	136.3980255126953	129.23367309570312	148.07139587402344	129.2476043701172	123.53275299072266	119.47044372558594	131.4507293701172	139.1894989013672	131.94509887695312	128.05963134765625	119.38670349121094	127.72449493408203	129.57528686523438	122.46087646484375	134.4156494140625	126.53348541259766	141.2621612548828	123.66329193115234	140.3024139404297	129.46656799316406	117.69116973876953	126.42808532714844	131.18963623046875	112.01585388183594	129.46176147460938	118.48783111572266	137.3401641845703	121.22607421875	139.16036987304688	140.96018981933594	153.29193115234375	134.45791625976562	129.91085815429688	138.26388549804688	133.97122192382812	136.47836303710938	133.28167724609375	117.58096313476562	137.1959228515625	120.86993408203125	119.55535125732422	126.97163391113281	119.32188415527344	138.40985107421875	117.1153564453125	139.1537322998047	135.53648376464844	118.60799407958984	125.83538818359375	137.17633056640625	145.99952697753906	117.04942321777344	137.8469696044922	125.5184326171875	127.45640563964844	128.3305206298828	152.35263061523438	110.95118713378906	120.64990234375	121.11125183105469	127.69245910644531	129.78302001953125	159.6993408203125	126.67539978027344	136.25595092773438	121.8382568359375	126.47160339355469	132.3062744140625	114.28076171875	136.16287231445312	121.48269653320312	127.03950500488281	135.774658203125	123.98799133300781	133.75401306152344	129.53579711914062	109.7780532836914	133.73190307617188	121.48817443847656	114.8777084350586	118.05284118652344	120.00372314453125	147.0272674560547	133.95547485351562	132.72531127929688	121.48576354980469	135.58737182617188	135.46176147460938	130.6073455810547	133.66122436523438	133.12570190429688	129.97503662109375	123.55308532714844	131.23562622070312	117.8634262084961
DYE605	DYE605	8	105.0	111.5606460571289	111.6934814453125	103.57615661621094	100.95843505859375	139.5365753173828	108.19224548339844	119.15444946289062	111.29280853271484	131.58360290527344	112.67769622802734	106.27800750732422	102.57893371582031	113.37451171875	119.57484436035156	114.94282531738281	109.55720520019531	102.331787109375	109.7177963256836	111.62724304199219	102.70094299316406	115.01498413085938	108.55249786376953	123.0713882446289	106.25617980957031	120.47393798828125	111.3380355834961	100.61270904541016	108.53211975097656	113.40457916259766	95.96543884277344	110.23982238769531	101.1922836303711	119.48118591308594	105.7759017944336	119.63654327392578	121.74199676513672	132.80654907226562	114.28813934326172	111.0729751586914	121.89188385009766	116.60565948486328	118.70355224609375	114.62067413330078	100.59879302978516	118.81465148925781	103.61442565917969	103.49930572509766	109.36145782470703	102.6165771484375	118.76737976074219	100.47125244140625	120.48905181884766	117.34667205810547	101.7782974243164	108.08416748046875	118.72354125976562	127.10127258300781	100.61184692382812	119.10026550292969	107.75204467773438	107.2884521484375	110.44947814941406	133.2850799560547	95.89714050292969	103.04794311523438	103.64611053466797	110.27462768554688	112.19956970214844	138.90467834472656	109.05757904052734	116.06193542480469	104.71766662597656	108.4117431640625	113.5521240234375	98.14212036132812	116.56912231445312	103.05514526367188	108.4479751586914	116.58258056640625	107.56248474121094	115.8729476928711	111.3240966796875	93.8511962890625	115.65634155273438	104.2754135131836	98.8988037109375	101.64166259765625	103.24942016601562	127.69992065429688	115.8277359008789	114.17115783691406	105.59091186523438	117.52165985107422	116.7525863647461	112.63209533691406	115.02743530273438	114.83326721191406	111.9500961303711	105.81556701660156	113.58585357666016	101.37333679199219
DYE605	DYE605	9	123.0	96.06814575195312	95.979248046875	89.6221923828125	86.68814086914062	119.75682067871094	93.22081756591797	103.8346176147461	95.82331085205078	115.5770263671875	98.05268096923828	91.48040771484375	88.14697265625	97.48554229736328	102.79924011230469	99.83182525634766	93.58242797851562	87.65940856933594	94.13597869873047	96.490966796875	86.19740295410156	98.06499481201172	93.22086334228516	107.34745788574219	91.11758422851562	103.16747283935547	95.71049499511719	85.97201538085938	93.31273651123047	97.93929290771484	82.19100952148438	93.64918518066406	86.26353454589844	103.75700378417969	92.26318359375	102.66300201416016	105.1666259765625	114.33743286132812	97.3552474975586	94.92073822021484	107.04013061523438	101.21277618408203	103.26519775390625	98.4569091796875	85.90625	102.8765869140625	88.8427734375	89.47842407226562	94.17745971679688	88.18287658691406	101.82352447509766	86.1209716796875	104.29261016845703	101.30867004394531	86.90142059326172	92.83738708496094	102.67190551757812	110.72965240478516	86.32665252685547	102.94181823730469	92.33447265625	90.52122497558594	95.08494567871094	116.0436019897461	83.44572448730469	88.07030487060547	88.6658935546875	95.06498718261719	96.9567642211914	120.63594055175781	93.8914794921875	99.06361389160156	90.10919189453125	92.8625259399414	97.39105224609375	84.22193908691406	99.82778930664062	87.18893432617188	92.66275787353516	99.94219207763672	93.08394622802734	100.304931640625	95.6774673461914	80.2176513671875	99.96100616455078	89.51161193847656	85.85954284667969	87.482421875	88.79191589355469	110.94776916503906	100.07704162597656	98.47346496582031	91.99496459960938	101.89485931396484	100.58856201171875	97.11051940917969	99.40328216552734	99.0849838256836	96.33255004882812	90.43470764160156	98.24585723876953	87.17107391357422
