group	dataset	id	data_central	theory_central	rep_00001	rep_00002	rep_00003	rep_00004	rep_00005	rep_00006	rep_00007	rep_00008	rep_00009	rep_00010	rep_00011	rep_00012	rep_00013	rep_00014	rep_00015	rep_00016	rep_00017	rep_00018	rep_00019	rep_00020	rep_00021	rep_00022	rep_00023	rep_00024	rep_00025	rep_00026	rep_00027	rep_00028	rep_00029	rep_00030	rep_00031	rep_00032	rep_00033	rep_00034	rep_00035	rep_00036	rep_00037	rep_00038	rep_00039	rep_00040	rep_00041	rep_00042	rep_00043	rep_00044	rep_00045	rep_00046	rep_00047	rep_00048	rep_00049	rep_00050	rep_00051	rep_00052	rep_00053	rep_00054	rep_00055	rep_00056	rep_00057	rep_00058	rep_00059	rep_00060	rep_00061	rep_00062	rep_00063	rep_00064	rep_00065	rep_00066	rep_00067	rep_00068	rep_00069	rep_00070	rep_00071	rep_00072	rep_00073	rep_00074	rep_00075	rep_00076	rep_00077	rep_00078	rep_00079	rep_00080	rep_00081	rep_00082	rep_00083	rep_00084	rep_00085	rep_00086	rep_00087	rep_00088	rep_00089	rep_00090	rep_00091	rep_00092	rep_00093	rep_00094	rep_00095	rep_00096	rep_00097	rep_00098	rep_00099	rep_00100
CHORUS	CHORUSNBPb	543	0.228	0.24402418732643127	0.24953468143939972	0.24462026357650757	0.24638870358467102	0.25448423624038696	0.24866577982902527	0.22582942247390747	0.24785518646240234	0.2542828619480133	0.253883957862854	0.23967991769313812	0.2702726721763611	0.23451663553714752	0.24701425433158875	0.2407822608947754	0.24683250486850739	0.24345867335796356	0.2544086277484894	0.2523852586746216	0.2485489547252655	0.2406303584575653	0.236721932888031	0.2605038285255432	0.25199800729751587	0.23942236602306366	0.236448734998703	0.23917324841022491	0.2370443046092987	0.24620601534843445	0.2432292103767395	0.2481500804424286	0.23895135521888733	0.243931382894516	0.23716630041599274	0.23359066247940063	0.23925566673278809	0.24811822175979614	0.25709789991378784	0.25365951657295227	0.24241553246974945	0.23205584287643433	0.24220101535320282	0.24403806030750275	0.23418477177619934	0.24329830706119537	0.24063396453857422	0.23069101572036743	0.25451749563217163	0.24442867934703827	0.24998322129249573	0.23191720247268677	0.2646276354789734	0.23960228264331818	0.23234403133392334	0.264620304107666	0.2377159595489502	0.2604481875896454	0.23334021866321564	0.2535114884376526	0.2471693456172943	0.23923581838607788	0.23280391097068787	0.25891217589378357	0.23391003906726837	0.24369099736213684	0.22908608615398407	0.2367357462644577	0.2533223330974579	0.2527061700820923	0.250319242477417	0.2588120102882385	0.2271759808063507	0.24138128757476807	0.22685246169567108	0.22572796046733856	0.24006840586662292	0.2362409234046936	0.24154536426067352	0.23808181285858154	0.23794178664684296	0.24836201965808868	0.24138414859771729	0.2486344426870346	0.24281491339206696	0.24059149622917175	0.23972147703170776	0.24997273087501526	0.2445530891418457	0.25761133432388306	0.23831818997859955	0.25711238384246826	0.24287182092666626	0.23862572014331818	0.2468687891960144	0.24343428015708923	0.25301599502563477	0.23823660612106323	0.25031110644340515	0.23923449218273163	0.241979718208313	0.2357259839773178
CHORUS	CHORUSNBPb	544	0.1846	0.16818249225616455	0.17363575100898743	0.1677323877811432	0.1695859283208847	0.1793120950460434	0.17120803892612457	0.15004874765872955	0.17136192321777344	0.1779588907957077	0.17765134572982788	0.1641782820224762	0.19562023878097534	0.15941156446933746	0.17256328463554382	0.1661628633737564	0.1713303029537201	0.16657328605651855	0.17696891725063324	0.17726673185825348	0.17308907210826874	0.16499267518520355	0.16128596663475037	0.183757945895195	0.17663878202438354	0.16378965973854065	0.16092732548713684	0.16359813511371613	0.16162945330142975	0.16966484487056732	0.16571813821792603	0.17213380336761475	0.1615704894065857	0.16712051630020142	0.16043736040592194	0.1571235954761505	0.1619790494441986	0.17134439945220947	0.18212264776229858	0.1756967157125473	0.1697140485048294	0.15795652568340302	0.16611292958259583	0.1681295484304428	0.15814362466335297	0.16698262095451355	0.16397573053836823	0.15662547945976257	0.17831675708293915	0.16847854852676392	0.17291639745235443	0.15700964629650116	0.18790796399116516	0.16334086656570435	0.15750296413898468	0.18813779950141907	0.1616291105747223	0.1852819323539734	0.15887326002120972	0.17661839723587036	0.17113955318927765	0.1636458784341812	0.1579286903142929	0.1832219809293747	0.15814781188964844	0.1673632264137268	0.15610526502132416	0.16197174787521362	0.17960487306118011	0.17683552205562592	0.17396844923496246	0.1814248412847519	0.15090380609035492	0.16543924808502197	0.15090690553188324	0.14972734451293945	0.1652195006608963	0.15950272977352142	0.16730795800685883	0.1616566777229309	0.16279098391532898	0.1710934340953827	0.16627368330955505	0.17170479893684387	0.166428342461586	0.16493822634220123	0.16436901688575745	0.17583763599395752	0.17102491855621338	0.18116219341754913	0.16246084868907928	0.1820579171180725	0.1666279286146164	0.16258737444877625	0.16940529644489288	0.16664090752601624	0.17637999355793	0.16314995288848877	0.1728542149066925	0.16475291550159454	0.16639111936092377	0.1604493260383606
CHORUS	CHORUSNBPb	545	0.4339	0.5189858675003052	0.5107744932174683	0.5281752347946167	0.5540262460708618	0.5183219313621521	0.5120877027511597	0.5205045938491821	0.517876386642456	0.5211915373802185	0.5128763914108276	0.5069833993911743	0.518923282623291	0.5142779350280762	0.521518349647522	0.5115014314651489	0.5136557817459106	0.5153689384460449	0.535223662853241	0.5150502324104309	0.5189177989959717	0.5083523988723755	0.5255236625671387	0.5248705148696899	0.519654393196106	0.5168099999427795	0.49518460035324097	0.5185049772262573	0.5138251781463623	0.5218944549560547	0.5238357782363892	0.5309853553771973	0.5066101551055908	0.5113911628723145	0.5373572111129761	0.5371242761611938	0.5159468650817871	0.5237420797348022	0.490948885679245	0.5236755013465881	0.5285253524780273	0.514777421951294	0.5167465209960938	0.5312832593917847	0.5110127925872803	0.5287457704544067	0.5198380947113037	0.5084601640701294	0.5245041847229004	0.5142172574996948	0.5173932313919067	0.5048162937164307	0.5367234349250793	0.5252292156219482	0.5226393938064575	0.5245039463043213	0.5170255899429321	0.5185397863388062	0.513911247253418	0.5218116641044617	0.5253171920776367	0.5117545127868652	0.49437370896339417	0.534103274345398	0.5165064930915833	0.5234352946281433	0.5041828155517578	0.525626540184021	0.5059967637062073	0.5357811450958252	0.5073147416114807	0.5287176370620728	0.5189379453659058	0.517387866973877	0.5038011074066162	0.5139327049255371	0.516893744468689	0.5212956666946411	0.5199520587921143	0.5296030044555664	0.5082253217697144	0.5191102027893066	0.5274029970169067	0.5433779954910278	0.5201060771942139	0.5044089555740356	0.5370484590530396	0.5143340826034546	0.5078274011611938	0.5418797731399536	0.5133790969848633	0.519440770149231	0.5253891944885254	0.5218485593795776	0.515996515750885	0.5212108492851257	0.5279814004898071	0.5157219171524048	0.5119999051094055	0.5067583918571472	0.5153095722198486	0.5107131004333496
CHORUS	CHORUSNBPb	546	0.3805	0.36829134821891785	0.3649784028530121	0.3747415840625763	0.3717721402645111	0.36541199684143066	0.36413073539733887	0.37072205543518066	0.3658084273338318	0.37405261397361755	0.36597001552581787	0.37107908725738525	0.37445876002311707	0.3634835481643677	0.36876344680786133	0.3627418577671051	0.36699429154396057	0.36669251322746277	0.38085854053497314	0.36863821744918823	0.36783695220947266	0.36415499448776245	0.37558072805404663	0.375275194644928	0.35479265451431274	0.3687366545200348	0.35142943263053894	0.3691854774951935	0.3677036166191101	0.37433624267578125	0.37012720108032227	0.3695128858089447	0.35904330015182495	0.36004966497421265	0.37993544340133667	0.37977296113967896	0.36604881286621094	0.3722856044769287	0.34591642022132874	0.3728671669960022	0.3762558698654175	0.36817461252212524	0.36668288707733154	0.3750561475753784	0.3650398254394531	0.3756977915763855	0.36992043256759644	0.35985836386680603	0.3719695508480072	0.3704489767551422	0.36533722281455994	0.35714733600616455	0.38495954871177673	0.3719938397407532	0.3646051287651062	0.3782427906990051	0.374661386013031	0.3703005313873291	0.3668530583381653	0.37217018008232117	0.3709658980369568	0.36127033829689026	0.3517334759235382	0.38214099407196045	0.36900627613067627	0.3710613250732422	0.36165961623191833	0.3692285418510437	0.3618057668209076	0.3851011097431183	0.3618868291378021	0.37899959087371826	0.3668781816959381	0.369378000497818	0.3566408157348633	0.3649621605873108	0.3655819296836853	0.3636643886566162	0.36928480863571167	0.3656938672065735	0.3616597354412079	0.37408560514450073	0.3731413781642914	0.37201714515686035	0.3705976605415344	0.3554646074771881	0.3588113784790039	0.35963910818099976	0.3621861934661865	0.3880825340747833	0.36436545848846436	0.37192338705062866	0.372877299785614	0.3700239956378937	0.36426180601119995	0.37242427468299866	0.3751663863658905	0.3668377697467804	0.36624929308891296	0.35900774598121643	0.3663320541381836	0.36576876044273376
CHORUS	CHORUSNBPb	547	0.2169	0.26725995540618896	0.26594170928001404	0.27091121673583984	0.26757147908210754	0.2645207643508911	0.26429760456085205	0.2677420377731323	0.26439589262008667	0.2738090455532074	0.2656288743019104	0.2728331685066223	0.2775645852088928	0.26224812865257263	0.2652885615825653	0.2625310719013214	0.267587810754776	0.26599183678627014	0.27804410457611084	0.26929500699043274	0.26664310693740845	0.2649705410003662	0.2741827368736267	0.2740282416343689	0.2527093291282654	0.26768216490745544	0.2538522183895111	0.26798057556152344	0.2682807147502899	0.2698574364185333	0.2668742537498474	0.26777273416519165	0.25905680656433105	0.2585301697254181	0.2763562798500061	0.2779649496078491	0.2649383842945099	0.2707365155220032	0.24935568869113922	0.2708723843097687	0.2760563790798187	0.2683227062225342	0.26533588767051697	0.271835058927536	0.2653898596763611	0.27188074588775635	0.26798853278160095	0.26065918803215027	0.2699607014656067	0.27074316143989563	0.2638504207134247	0.2573758661746979	0.2821270525455475	0.2695869505405426	0.26114487648010254	0.2783758342266083	0.27496206760406494	0.27132901549339294	0.26548880338668823	0.2703360915184021	0.2673335671424866	0.25990891456604004	0.25310444831848145	0.27887213230133057	0.2668657898902893	0.2690359055995941	0.2639748454093933	0.2691080868244171	0.2644285261631012	0.28237810730934143	0.26274633407592773	0.27775755524635315	0.26511651277542114	0.2677137851715088	0.2569413185119629	0.26291584968566895	0.26362043619155884	0.2611519694328308	0.2675425708293915	0.2671045958995819	0.26155024766921997	0.27322497963905334	0.26921164989471436	0.2664889097213745	0.2689736485481262	0.25727981328964233	0.2597351670265198	0.26347845792770386	0.26315346360206604	0.2834429144859314	0.26363468170166016	0.27180877327919006	0.2698429822921753	0.267240971326828	0.2630847990512848	0.2701895833015442	0.2730715870857239	0.26552027463912964	0.26652583479881287	0.25868234038352966	0.2657250463962555	0.2649138271808624
CHORUS	CHORUSNBPb	548	0.2654	0.19245201349258423	0.192606121301651	0.19405174255371094	0.19194945693016052	0.19055885076522827	0.1904388964176178	0.19201427698135376	0.18951621651649475	0.1993890404701233	0.1910134255886078	0.19945016503334045	0.20608296990394592	0.1871325969696045	0.18891379237174988	0.18830928206443787	0.19409549236297607	0.1910662055015564	0.20154449343681335	0.1955896019935608	0.19208291172981262	0.1912597417831421	0.1989448070526123	0.19909009337425232	0.17841637134552002	0.19251318275928497	0.181143119931221	0.19306306540966034	0.1942233443260193	0.19222956895828247	0.19057554006576538	0.19247528910636902	0.1849023699760437	0.18334951996803284	0.19970308244228363	0.20219086110591888	0.19013842940330505	0.19583430886268616	0.17844972014427185	0.19511646032333374	0.20260562002658844	0.19427910447120667	0.19027721881866455	0.19571156799793243	0.1914166510105133	0.19492179155349731	0.1921912431716919	0.18746435642242432	0.19461402297019958	0.1959342211484909	0.18889732658863068	0.1834459751844406	0.20597316324710846	0.1939549744129181	0.18512193858623505	0.20406511425971985	0.20011480152606964	0.19874978065490723	0.1901424527168274	0.19474723935127258	0.1907440423965454	0.1847645342350006	0.1798740029335022	0.2023957222700119	0.19079460203647614	0.1937049925327301	0.19092291593551636	0.195037841796875	0.19238439202308655	0.20649206638336182	0.1891689896583557	0.20292410254478455	0.18998131155967712	0.19209903478622437	0.18318673968315125	0.18720665574073792	0.18809573352336884	0.1859523355960846	0.19219589233398438	0.1941448450088501	0.18709734082221985	0.1980838179588318	0.1923123002052307	0.18902304768562317	0.19362910091876984	0.18487179279327393	0.18683168292045593	0.19195425510406494	0.18943879008293152	0.20581677556037903	0.18896447122097015	0.19761815667152405	0.1936461627483368	0.19119350612163544	0.18846547603607178	0.19412314891815186	0.19775865972042084	0.1903020441532135	0.192305788397789	0.1843266487121582	0.19135722517967224	0.18995779752731323
