group,group,dataset,id,data_central,theory (p),theory (N),cfactor,
CHORUS,CHORUS,CHORUSNUPb,64,1.8329,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,65,1.6765,1.61281704902649,1.56990706920624,-0.026605609015699,0
CHORUS,CHORUS,CHORUSNUPb,66,1.7209,1.56759381294251,1.53496515750885,-0.020814483423106,0
CHORUS,CHORUS,CHORUSNUPb,67,1.8402,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,68,1.8167,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,69,1.7986,1.72415888309479,1.75389957427979,0.017249391269333,0
CHORUS,CHORUS,CHORUSNUPb,70,1.8561,1.67873644828796,1.72011065483093,0.024646040529568,0
CHORUS,CHORUS,CHORUSNUPb,71,1.8693,1.63463664054871,1.68688070774078,0.031960660795258,0
CHORUS,CHORUS,CHORUSNUPb,72,1.6965,1.59628438949585,1.65599286556244,0.037404660760635,0
CHORUS,CHORUS,CHORUSNUPb,73,1.7722,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,74,1.8204,1.69078016281128,1.74855720996857,0.034171826963726,0
CHORUS,CHORUS,CHORUSNUPb,75,1.79,1.66514658927917,1.71567010879517,0.030341784826201,0
CHORUS,CHORUS,CHORUSNUPb,76,1.7841,1.63690912723541,1.68340158462524,0.028402589133554,0
CHORUS,CHORUS,CHORUSNUPb,77,1.7316,1.60775744915009,1.65345120429993,0.028420801392646,0
CHORUS,CHORUS,CHORUSNUPb,78,1.7382,1.58069288730621,1.62654602527618,0.029008252227992,0
CHORUS,CHORUS,CHORUSNUPb,79,1.6952,1.65173959732056,1.65032184123993,-0.00085834115918,0
CHORUS,CHORUS,CHORUSNUPb,80,1.6671,1.5958389043808,1.61414873600006,0.011473483676203,0
CHORUS,CHORUS,CHORUSNUPb,81,1.5978,1.55606877803803,1.57946801185608,0.015037403325807,0
CHORUS,CHORUS,CHORUSNUPb,82,1.6374,1.52376937866211,1.54835760593414,0.016136449266111,0
CHORUS,CHORUS,CHORUSNUPb,83,1.6822,1.4943413734436,1.52095866203308,0.017812053565873,0
CHORUS,CHORUS,CHORUSNUPb,84,1.5771,1.46895837783813,1.49687445163727,0.019003992366494,0
CHORUS,CHORUS,CHORUSNUPb,85,1.6113,1.52179992198944,1.46264386177063,-0.038872429525083,0
CHORUS,CHORUS,CHORUSNUPb,86,1.4825,1.46120977401733,1.42032372951508,-0.027980954705668,0
CHORUS,CHORUS,CHORUSNUPb,87,1.4235,1.4142005443573,1.38551449775696,-0.020284284795958,0
CHORUS,CHORUS,CHORUSNUPb,88,1.4924,1.37623655796051,1.3564875125885,-0.014350036887028,0
CHORUS,CHORUS,CHORUSNUPb,89,1.4187,1.34536516666412,1.33178496360779,-0.010094064714049,0
CHORUS,CHORUS,CHORUSNUPb,90,1.466,1.3199725151062,1.31034791469574,-0.007291515770453,0
CHORUS,CHORUS,CHORUSNUPb,91,1.2397,1.22648298740387,1.13135302066803,-0.077563217519392,0
CHORUS,CHORUS,CHORUSNUPb,92,1.1505,1.17198145389557,1.08700060844421,-0.072510401225963,0
CHORUS,CHORUS,CHORUSNUPb,93,1.1482,1.13145518302917,1.05540001392365,-0.067218896732535,0
CHORUS,CHORUS,CHORUSNUPb,94,1.0492,1.09939646720886,1.03097569942474,-0.062234844139371,0
CHORUS,CHORUS,CHORUSNUPb,95,1.1106,1.07304644584656,1.01094233989716,-0.057876437865097,0
CHORUS,CHORUS,CHORUSNUPb,96,1.0781,1.05085372924805,0.99379426240921,-0.054298200834922,0
CHORUS,CHORUS,CHORUSNUPb,97,0.8274,0.857140481472015,0.713082849979401,-0.168067702560514,0
CHORUS,CHORUS,CHORUSNUPb,98,0.7631,0.802714765071869,0.674755752086639,-0.159407822744824,0
CHORUS,CHORUS,CHORUSNUPb,99,0.71,0.763025879859924,0.650557279586792,-0.147398146303739,0
CHORUS,CHORUS,CHORUSNUPb,100,0.7179,0.732776582241058,0.633068144321442,-0.136069356385103,0
CHORUS,CHORUS,CHORUSNUPb,101,0.7051,0.708506643772125,0.619222581386566,-0.126017254983251,0
CHORUS,CHORUS,CHORUSNUPb,102,0.5153,0.497121572494507,0.396400421857834,-0.202608690126369,0
CHORUS,CHORUS,CHORUSNUPb,103,0.4003,0.453249514102936,0.367667824029922,-0.188818051448759,0
CHORUS,CHORUS,CHORUSNUPb,104,0.4019,0.425209432840347,0.350908488035202,-0.174739643729971,0
CHORUS,CHORUS,CHORUSNUPb,105,0.3829,0.404751867055893,0.339394897222519,-0.161474165168826,0
CHORUS,CHORUS,CHORUSNUPb,106,0.3748,0.388771742582321,0.33052322268486,-0.149827041210761,0
CHORUS,CHORUS,CHORUSNUPb,107,0.2438,0.246203809976578,0.19184285402298,-0.220796566709384,0
CHORUS,CHORUS,CHORUSNUPb,108,0.2102,0.215753465890884,0.172559708356857,-0.200199599833413,0
CHORUS,CHORUS,CHORUSNUPb,109,0.1896,0.196992784738541,0.161936193704605,-0.177958756613673,0
CHORUS,CHORUS,CHORUSNUPb,110,0.178,0.183644339442253,0.154911369085312,-0.156459874800422,0
CHORUS,CHORUS,CHORUSNUPb,111,0.1603,0.171947732567787,0.148192599415779,-0.138153221314757,0
CHORUS,CHORUS,CHORUSNUPb,112,1.2797,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,113,1.2867,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,114,1.1938,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,115,1.3108,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,116,1.3671,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,117,1.1611,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,118,1.2982,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,119,1.527,0,0,#DIV/0!,0
